متد,دسته‌بندی,کاربرد به فارسی
just(T...),قبل از ارسال,مستقیماً یک یا چند مقدار را منتشر می‌کند (بدون تأخیر)
empty(),قبل از ارسال,یک سیگنال خالی (بدون داده) اما با پایان موفق منتشر می‌کند
never(),قبل از ارسال,هیچ چیز منتشر نمی‌کند — جریان هرگز شروع یا پایان نمی‌یابد
error(Throwable),قبل از ارسال,بلافاصله یک خطا منتشر می‌کند
defer(),قبل از ارسال,فقط وقتی داده تولید شود که اشتراک (subscribe) ایجاد شده باشد — برای تأخیر در ارزیابی
fromSupplier(),قبل از ارسال,یک مقدار را از یک تابع تولید می‌کند
using(),قبل از ارسال,یک منبع را ایجاد، مصرف و سپس آزاد می‌کند (مثلاً اتصال به دیتابیس)
map(Function),در حین جریان داده,هر آیتم در جریان را به نوع دیگری تبدیل می‌کند
flatMap(Function),در حین جریان داده,هر آیتم را به یک Mono یا Flux جدید تبدیل می‌کند و نتایج را ادغام می‌کند
concatMap(Function),در حین جریان داده,مثل flatMap اما نتایج را به ترتیب اولیه منتشر می‌کند
switchMap(Function),در حین جریان داده,وقتی آیتم جدیدی بیاید، جریان قبلی را لغو و فقط به جدید توجه می‌کند
filter(Predicate),در حین جریان داده,فقط آیتم‌هایی که شرط را داشته باشند را ادامه می‌دهد
filterWhen(Function),در حین جریان داده,مثل filter اما بر اساس یک Mono<Boolean>
scan(BiFunction),در حین جریان داده,یک مقدار تجمعی (مانند جمع زدن) روی آیتم‌ها ایجاد می‌کند
buffer(),در حین جریان داده,آیتم‌ها را در لیست‌های کوچک جمع می‌کند
window(),در حین جریان داده,جریان را به زیرجریان‌های کوچک تقسیم می‌کند
doOnNext(Consumer),پس از موفقیت,وقتی هر آیتم می‌آید، کاری انجام بده (مثلاً لاگ کردن)
doOnComplete(),پس از موفقیت,وقتی جریان با موفقیت تمام شد، این کار را انجام بده
doOnSubscribe(),پس از موفقیت,وقتی کاربر اشتراک کرد، این کار را انجام بده
doOnRequest(LongConsumer),پس از موفقیت,وقتی مشتری درخواست داده جدیدی داد، این کار را انجام بده
doFirst(),پس از موفقیت,اولین کاری که قبل از هرچیز انجام می‌شود
doOnSuccess(Consumer),پس از موفقیت,وقتی Mono با موفقیت یک مقدار داد، این کار را انجام بده
then(),پس از موفقیت,بعد از پایان، یک Mono<Void> بگردان
thenReturn(T),پس از موفقیت,بعد از پایان، یک مقدار ثابت برگردان
onErrorReturn(T),در صورت خطا,اگر خطا شد، یک مقدار پیش‌فرض برگردان
onErrorResume(Function),در صورت خطا,اگر خطا شد، یک Mono یا Flux جایگزین برگردان
onErrorMap(Function),در صورت خطا,خطا را به یک نوع دیگر تبدیل کن (مثلاً خطای عمومی به خطای سفارشی)
retry(),در صورت خطا,در صورت خطا، دوباره سعی کن
retry(int),در صورت خطا,حداکثر چند بار دوباره امتحان کن
doOnError(Consumer),در صورت خطا,وقتی خطا اتفاق افتاد، این کار را انجام بده (مثلاً لاگ کردن خطا)
defaultIfEmpty(T),در صورت عدم وجود داده,اگر هیچ داده‌ای نیامد، یک مقدار پیش‌فرض برگردان
switchIfEmpty(Mono),در صورت عدم وجود داده,اگر خالی بود، یک Mono جایگزین اجرا کن
hasElement(),در صورت عدم وجود داده,یک Mono<Boolean> برمی‌گرداند که نشان می‌دهد آیا داده‌ای آمده است
delayElement(Duration),کنترل زمان و تأخیر,هر آیتم را به اندازه مشخصی تأخیر می‌دهد
delaySubscription(Duration),کنترل زمان و تأخیر,شروع اشتراک را به اندازه مشخصی تأخیر می‌دهد
timeout(Duration),کنترل زمان و تأخیر,اگر داده‌ای در زمان مشخص نیامد، خطا بده
take(Duration),کنترل زمان و تأخیر,فقط آیتم‌هایی که در بازه زمانی مشخص آمدند را بگیر
takeLast(int),کنترل زمان و تأخیر,فقط آخرین N آیتم را بگیر
skip(Duration),کنترل زمان و تأخیر,آیتم‌هایی که در زمان اولیه می‌آیند را نادیده بگیر
subscribe(),اتصال و اجرا,جریان را شروع می‌کند و داده‌ها را مصرف می‌کند
block(),اتصال و اجرا,منتظر می‌ماند تا داده بیاید — فقط در موارد غیرریکتیو
blockFirst(),اتصال و اجرا,اولین داده را بلوک می‌کند و برمی‌گرداند
blockLast(),اتصال و اجرا,آخرین داده را بلوک می‌کند و برمی‌گرداند
collectList(),اتصال و اجرا,تمام آیتم‌ها را جمع‌آوری و در یک List قرار می‌دهد
collectMap(keyMapper),اتصال و اجرا,آیتم‌ها را به صورت نقشه (map) جمع‌آوری می‌کند
count(),اتصال و اجرا,تعداد آیتم‌های دریافتی را برمی‌گرداند