Name (English),توضیحات (فارسی)
Spring Boot,یک فریم‌ورک است که برای سرعت بخشیدن به روند راه‌اندازی پروژه‌های Spring طراحی شده است. با ارائه تنظیمات پیش‌فرض، وابستگی‌های خودکار (auto-configuration) و سرورهای داخلی (مثل Tomcat)، به شما اجازه می‌دهد بدون نیاز به تنظیمات پیچیده، در کمترین زمان ممکن یک برنامه قابل اجرا (executable JAR) بسازید. کاربرد اصلی: ساخت سرویس‌های وب، APIها و اپلیکیشن‌های کسب‌وکار با حداقل کدنویسی تنظیمات.
Spring MVC,معماری مبتنی بر الگوی MVC (Model-View-Controller) برای ساخت اپلیکیشن‌های وب سنتی (Server-Side Rendered). این فریم‌ورک برای صفحات HTML دینامیک، فرم‌های وب، مدیریت درخواست‌ها و پاسخ‌های HTTP استفاده می‌شود. کاربرد اصلی: توسعه وب‌سایت‌های سنتی مانند پنل‌های مدیریت، سایت‌های اطلاع‌رسانی و اپلیکیشن‌هایی که نیاز به رندر سمت سرور دارند.
Spring WebFlux,نسخه واکنش‌گرا (Reactive) از Spring MVC که برای ساخت اپلیکیشن‌های غیرمسدود (non-blocking) و مقیاس‌پذیر بالا طراحی شده است. از پایه‌های Reactor و Streamهای واکنش‌گرا (Flux/Mono) استفاده می‌کند. کاربرد اصلی: ساخت APIهای با حجم بالا، پردازش همزمان تعداد زیادی درخواست (مثل چت‌اپلیکیشن‌ها، سیستم‌های زمان واقعی و سرویس‌های با تأخیر کم).
Spring Cloud,مجموعه‌ای از ابزارها و کتابخانه‌ها برای ساخت و مدیریت اپلیکیشن‌های میکروسرویسی در محیط‌های ابری (Cloud). شامل خدماتی مانند کشف سرویس (Eureka)، راه‌اندازی مرزی (Gateway)، تنظیم پیکربندی (Config Server)، توزیع ساختارهای توزیع‌شده (Circuit Breaker) و... است. کاربرد اصلی: توسعه سیستم‌های پیچیده که از ده‌ها میکروسرویس تشکیل شده‌اند و نیاز به مدیریت، مقیاس‌پذیری و تحمل خطا دارند.
Spring Security,"یک فریم‌ورک قدرتمند برای امنیت‌بخشی به اپلیکیشن‌های Spring. امکاناتی مانند احراز هویت (Authentication)، مجوزدهی (Authorization)، محافظت در برابر حملات (CSRF, XSS)، مدیریت سشن‌ها و ادغام با LDAP/OAuth2/OpenID Connect را فراهم می‌کند. کاربرد اصلی: اطمینان از امنیت دسترسی کاربران به منابع سیستم، حفاظت از APIها و پیاده‌سازی سیاست‌های امنیتی پیچیده در اپلیکیشن‌های کسب‌وکار."
Spring REST (RESTful Services),اشاره به توانایی Spring (با استفاده از @RestController و @RequestMapping) برای ساخت APIهای مبتنی بر استاندارد REST. این APIها معمولاً داده‌ها را به صورت JSON یا XML ارائه می‌دهند و با کلاینت‌های وب، موبایل یا سرویس‌های دیگر ارتباط برقرار می‌کنند. کاربرد اصلی: ساخت پشتیبان (Backend) برای اپلیکیشن‌های موبایل، وب‌اپلیکیشن‌های SPA (React/Vue) و ادغام بین سیستم‌های مختلف.
Spring Data,مجموعه‌ای از کتابخانه‌ها برای ساده‌سازی دسترسی به داده‌ها (Database Access). از JpaRepository برای JPA تا ReactiveMongoRepository برای MongoDB را پشتیبانی می‌کند. با تعریف یک رابط (Interface)، عملیات CRUD و کوئری‌های پیچیده به صورت خودکار پیاده‌سازی می‌شوند. کاربرد اصلی: حذف کدنویسی تکراری برای دسترسی به دیتابیس و افزایش سرعت توسعه با کاهش نیاز به نوشتن Repositoryهای دستی.
Spring Batch,فریم‌ورکی برای پردازش حجم زیادی از داده‌ها به صورت دسته‌ای (Batch Processing) — مثلاً پردازش فایل‌های CSV/Excel، انتقال داده‌ها بین سیستم‌ها یا تولید گزارش‌های روزانه. امکاناتی مانند restartable jobs، chunking و error handling را فراهم می‌کند. کاربرد اصلی: پردازش داده‌های سنگین در شب‌ها (Nightly Jobs)، انتقال داده‌های مالی، تولید گزارش‌های ماهانه و سیستم‌های ERP.
Spring Integration,"یک فریم‌ورک برای پیاده‌سازی الگوهای ادغام سیستم‌ها (Enterprise Integration Patterns - EIP). امکان اتصال سرویس‌ها با استفاده از قنوات (Channels)، پیام‌رسانی، مدل‌های Message-Driven و ادغام با SMTP, FTP, JMS و... را فراهم می‌کند. کاربرد اصلی: ایجاد سیستم‌های توزیع‌شده که بین اپلیکیشن‌های مختلف (حتی متفاوت) ارتباط برقرار می‌کنند — مثل اتصال سیستم فروش به سیستم انبار."
Spring Test,"مجموعه‌ای از ابزارها و کتابخانه‌ها برای تست کردن اپلیکیشن‌های Spring — شامل تست‌های واحد (Unit), ادغام (Integration), تست APIهای REST و حتی تست واکنش‌گرا (WebFlux). امکان استفاده از @SpringBootTest, @MockBean و MockMvc را فراهم می‌کند. کاربرد اصلی: تضمین کیفیت کد، جلوگیری از خطاهای بازگشتی و اطمینان از رفتار صحیح سیستم در شرایط مختلف."
Spring Cache,"یک لایه انتزاعی برای افزودن کش (Caching) به اپلیکیشن‌ها. امکان استفاده از Redis, Ehcache, Caffeine و... را با استفاده از آنوتیشن‌های ساده مانند @Cacheable, @CacheEvict فراهم می‌کند. کاربرد اصلی: افزایش سرعت اپلیکیشن با ذخیره نتایج پرهزینه (مثل کوئری‌های دیتابیس یا فراخوانی APIهای خارجی) و کاهش بار روی منابع."
Spring Kafka / Spring AMQP,ابزارهایی برای ارتباط با سیستم‌های پیام‌رسانی مانند Apache Kafka و RabbitMQ. امکان ارسال و دریافت پیام‌های asynchronous را فراهم می‌کند. کاربرد اصلی: ساخت سیستم‌های مبتنی بر رویداد (Event-Driven Architecture)، ارتباط بین میکروسرویس‌ها بدون ارتباط مستقیم، پردازش پیام‌های صف‌بندی‌شده و افزایش مقیاس‌پذیری.
Spring GraphQL,پشتیبانی از استاندارد GraphQL در اپلیکیشن‌های Spring. امکان ساخت APIهایی که کلاینت‌ها بتوانند دقیقاً داده‌های مورد نیاز خود را درخواست کنند، بدون اضافه بار داده‌های غیرضروری. کاربرد اصلی: توسعه APIهای انعطاف‌پذیر برای اپلیکیشن‌های موبایل و وب که نیاز به داده‌های متنوع و پیچیده دارند.